cauhoi,cautraloi
Câu hỏi 10: Trường THPT Marie Curie tuyển sinh lớp mấy trong năm học 2025-2026?,Tuyển sinh lớp 10.
Câu hỏi 11: Trường THPT Marie Curie tuyển sinh bao nhiêu học sinh?,1.000 học sinh.
Câu hỏi 12: Chương trình nhà trường gồm những gì?,"Tin học quốc tế MOS, Tăng cường tiếng Anh, Dạy học theo định hướng STEM, Tiếng Anh với giáo viên bản ngữ, Chương trình 2 buổi/ngày, Hoạt động bán trú."
Câu hỏi 13: Các môn học bắt buộc là gì?,"Toán, Ngữ văn, Ngoại ngữ (Tiếng Anh, Tiếng Pháp, Tiếng Nhật), Lịch sử, Giáo dục thể chất, Giáo dục quốc phòng và an ninh, Giáo dục địa phương, Hoạt động trải nghiệm - hướng nghiệp."
Câu hỏi 14: Trường có bao nhiêu nhóm môn học lựa chọn?,7 nhóm.
Câu hỏi 15: Nhóm 1 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Tin học."
Câu hỏi 16: Nhóm 2 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Công nghệ."
Câu hỏi 17: Trường nằm ở đâu?,"Số 159 Đường Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa, Thành phố Hồ Chí Minh."
Câu hỏi 18: Học sinh có được học với giáo viên bản ngữ không?,"Có, học tiếng Anh với giáo viên bản ngữ."
Câu hỏi 19: Trường có tổ chức hoạt động trải nghiệm không?,"Có, thường xuyên tổ chức cho học sinh giao lưu văn hóa tại nhiều nước."
Câu hỏi 20: Trường THPT Marie Curie tuyển sinh lớp mấy trong năm học 2025-2026?,Tuyển sinh lớp 10.
Câu hỏi 21: Trường THPT Marie Curie tuyển sinh bao nhiêu học sinh?,1.000 học sinh.
Câu hỏi 22: Chương trình nhà trường gồm những gì?,"Tin học quốc tế MOS, Tăng cường tiếng Anh, Dạy học theo định hướng STEM, Tiếng Anh với giáo viên bản ngữ, Chương trình 2 buổi/ngày, Hoạt động bán trú."
Câu hỏi 23: Các môn học bắt buộc là gì?,"Toán, Ngữ văn, Ngoại ngữ (Tiếng Anh, Tiếng Pháp, Tiếng Nhật), Lịch sử, Giáo dục thể chất, Giáo dục quốc phòng và an ninh, Giáo dục địa phương, Hoạt động trải nghiệm - hướng nghiệp."
Câu hỏi 24: Trường có bao nhiêu nhóm môn học lựa chọn?,7 nhóm.
Câu hỏi 25: Nhóm 1 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Tin học."
Câu hỏi 26: Nhóm 2 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Công nghệ."
Câu hỏi 27: Trường nằm ở đâu?,"Số 159 Đường Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa, Thành phố Hồ Chí Minh."
Câu hỏi 28: Học sinh có được học với giáo viên bản ngữ không?,"Có, học tiếng Anh với giáo viên bản ngữ."
Câu hỏi 29: Trường có tổ chức hoạt động trải nghiệm không?,"Có, thường xuyên tổ chức cho học sinh giao lưu văn hóa tại nhiều nước."
Câu hỏi 30: Trường THPT Marie Curie tuyển sinh lớp mấy trong năm học 2025-2026?,Tuyển sinh lớp 10.
Câu hỏi 31: Trường THPT Marie Curie tuyển sinh bao nhiêu học sinh?,1.000 học sinh.
Câu hỏi 32: Chương trình nhà trường gồm những gì?,"Tin học quốc tế MOS, Tăng cường tiếng Anh, Dạy học theo định hướng STEM, Tiếng Anh với giáo viên bản ngữ, Chương trình 2 buổi/ngày, Hoạt động bán trú."
